date, confirmed, cured, dead
2020-01-20, 0, 0, 0
2020-01-21, 1, 0, 0
2020-01-22, 2, 0, 0
2020-01-23, 5, 0, 0
2020-01-24, 8, 0, 0
2020-01-25, 8, 0, 0
2020-01-26, 18, 0, 0
2020-01-27, 22, 0, 0
2020-01-28, 24, 0, 0
2020-01-29, 46, 0, 0
2020-01-30, 57, 0, 0
2020-01-31, 68, 0, 0
2020-02-01, 86, 0, 0
2020-02-02, 112, 0, 0
2020-02-03, 125, 0, 0
2020-02-04, 148, 0, 0
2020-02-05, 164, 0, 0
2020-02-06, 179, 0, 0
2020-02-07, 190, 0, 0
2020-02-08, 196, 0, 0
2020-02-09, 205, 0, 0
2020-02-10, 213, 0, 0
2020-02-11, 219, 0, 0
2020-02-12, 223, 0, 0
2020-02-13, 228, 0, 0
