date, confirmed, cured, dead
2020-01-20, 0, 0, 0
2020-01-21, 0, 0, 0
2020-01-22, 1, 0, 0
2020-01-23, 3, 0, 0
2020-01-24, 6, 0, 0
2020-01-25, 10, 0, 0
2020-01-26, 13, 0, 0
2020-01-27, 13, 0, 0
2020-01-28, 16, 0, 0
2020-01-29, 29, 0, 0
2020-01-30, 39, 0, 0
2020-01-31, 50, 0, 0
2020-02-01, 59, 0, 0
2020-02-02, 59, 0, 0
2020-02-03, 75, 0, 0
2020-02-04, 81, 0, 0
2020-02-05, 93, 0, 0
2020-02-06, 104, 0, 0
2020-02-07, 115, 0, 0
2020-02-08, 128, 0, 0
2020-02-09, 136, 0, 0
2020-02-10, 147, 0, 0
2020-02-11, 150, 0, 0
2020-02-12, 157, 0, 0
2020-02-13, 161, 0, 0
