date, confirmed, cured, dead
2020-01-20, 0, 0, 0
2020-01-21, 1, 0, 0
2020-01-22, 2, 0, 0
2020-01-23, 4, 0, 0
2020-01-24, 7, 0, 0
2020-01-25, 16, 0, 0
2020-01-26, 22, 0, 0
2020-01-27, 33, 0, 0
2020-01-28, 37, 0, 0
2020-01-29, 46, 0, 0
2020-01-30, 59, 0, 0
2020-01-31, 69, 0, 0
2020-02-01, 72, 0, 0
2020-02-02, 73, 0, 0
2020-02-03, 77, 0, 0
2020-02-04, 87, 0, 0
2020-02-05, 92, 0, 0
2020-02-06, 97, 0, 0
2020-02-07, 102, 0, 0
2020-02-08, 109, 0, 0
2020-02-09, 120, 0, 0
2020-02-10, 123, 0, 0
2020-02-11, 124, 0, 0
2020-02-12, 125, 0, 0
2020-02-13, 131, 0, 0
